date,Maina,ibov,CDI,usd
2021-10-08,13281.51,1086.82,1914.56,493.66
2021-10-07,13142.10,1065.16,1914.10,494.17
2021-10-06,13151.09,1064.92,1913.65,493.78
2021-10-05,13222.39,1063.93,1913.20,489.42
2021-10-04,13286.53,1063.31,1912.74,485.78
2021-10-01,13530.77,1087.46,1912.29,483.15
2021-09-30,13307.27,1068.96,1911.84,487.48
2021-09-29,13307.11,1070.19,1911.39,485.50
2021-09-28,13255.24,1060.72,1910.93,485.79
2021-09-27,13539.43,1094.04,1910.48,479.27
2021-09-24,13509.87,1091.15,1910.03,478.88
2021-09-23,13550.85,1098.67,1909.58,474.01
2021-09-22,13414.31,1081.51,1909.19,473.04
2021-09-21,13238.35,1061.93,1908.81,475.38
2021-09-20,13114.42,1048.39,1908.43,477.96
2021-09-17,13296.51,1073.39,1908.05,475.91
2021-09-16,13473.69,1096.07,1907.67,471.35
2021-09-15,13538.41,1108.29,1907.29,471.18
2021-09-14,13639.58,1119.06,1906.91,468.35
2021-09-13,13553.82,1121.21,1906.53,467.72
2021-09-10,13320.51,1100.81,1906.15,467.44
2021-09-09,13546.94,1111.16,1905.77,473.42
2021-09-08,13330.58,1092.40,1905.39,470.72
2021-09-06,13669.35,1135.32,1905.01,463.99
2021-09-03,13565.69,1126.31,1904.63,463.20
2021-09-02,13587.32,1123.84,1904.26,463.65
2021-09-01,13782.94,1150.03,1903.88,462.22
2021-08-31,13632.38,1144.11,1903.50,460.94
2021-08-30,13646.92,1153.34,1903.12,465.59
2021-08-27,13732.78,1162.37,1902.74,467.81
2021-08-26,13546.60,1143.56,1902.36,469.87
2021-08-25,13730.43,1163.72,1901.98,470.19
2021-08-24,13616.62,1157.88,1901.60,475.14
2021-08-23,13400.71,1131.49,1901.22,481.13
2021-08-20,13448.81,1137.09,1900.84,486.40
2021-08-19,13309.96,1128.54,1900.46,485.56
2021-08-18,13175.08,1123.51,1900.09,475.21
2021-08-17,13223.18,1135.66,1899.71,471.26
2021-08-16,13386.51,1147.95,1899.33,470.46
2021-08-13,13615.72,1167.35,1898.95,470.27
2021-08-12,13673.78,1162.60,1898.57,469.17
2021-08-11,13799.23,1175.65,1898.19,466.14
2021-08-10,13768.97,1177.06,1897.81,467.97
2021-08-09,13803.54,1184.93,1897.44,472.96
2021-08-06,13763.48,1182.92,1897.06,469.70
2021-08-05,13772.26,1171.57,1896.68,461.23
2021-08-04,13891.02,1173.20,1896.37,466.84
2021-08-03,14068.46,1190.30,1896.07,470.18
2021-08-02,14113.16,1180.08,1895.76,460.46
2021-07-30,14035.61,1173.19,1895.46,458.99
2021-07-29,14276.17,1210.51,1895.15,454.21
2021-07-28,14300.41,1216.39,1894.85,461.78
2021-07-27,14155.58,1200.27,1894.54,463.05
2021-07-26,14268.87,1213.68,1894.23,464.79
2021-07-23,14376.59,1204.52,1893.93,463.34
2021-07-22,14451.78,1215.05,1893.62,465.82
2021-07-21,14310.61,1212.96,1893.32,470.65
2021-07-20,14307.87,1207.87,1893.01,470.19
2021-07-19,14246.03,1198.18,1892.71,465.82
2021-07-16,14358.33,1213.26,1892.40,456.53
2021-07-15,14482.70,1227.78,1892.10,457.06
2021-07-14,14523.01,1236.82,1891.79,455.98
2021-07-13,14485.62,1234.52,1891.49,463.96
2021-07-12,14397.07,1228.99,1891.18,468.16
2021-07-09,14077.91,1208.13,1890.87,469.39
2021-07-08,14074.41,1208.13,1890.57,471.28
2021-07-07,14137.28,1223.45,1890.26,468.96
2021-07-06,14034.88,1204.92,1889.96,462.84
2021-07-05,14204.36,1222.50,1889.65,454.81
2021-07-02,14100.94,1229.26,1889.35,450.72
2021-07-01,13937.51,1210.42,1889.05,448.59
2021-06-30,14042.69,1221.36,1888.74,448.29
2021-06-29,13979.97,1226.42,1888.44,443.17
2021-06-28,14095.61,1227.41,1888.13,442.90
2021-06-25,14193.82,1225.73,1887.83,440.98
2021-06-24,14424.23,1247.48,1887.52,441.62
2021-06-23,14321.17,1237.03,1887.22,443.78
2021-06-22,14444.25,1240.30,1886.91,449.69
2021-06-21,14459.40,1245.09,1886.61,451.44
2021-06-18,14328.05,1236.81,1886.30,450.91
2021-06-17,14316.82,1233.45,1886.00,451.31
2021-06-16,14306.64,1245.03,1885.75,449.95
2021-06-15,14384.45,1253.04,1885.50,455.93
2021-06-14,14418.53,1254.17,1885.25,454.43
2021-06-11,14326.67,1246.78,1885.00,458.76
2021-06-10,14392.20,1252.90,1884.75,453.79
2021-06-09,14238.85,1251.27,1884.50,452.87
2021-06-08,14294.85,1250.12,1884.25,452.48
2021-06-07,14347.37,1259.64,1884.00,452.56
2021-06-04,14212.71,1253.38,1883.75,454.07
2021-06-02,14080.50,1248.33,1883.50,458.37
2021-06-01,14031.90,1235.48,1883.25,462.76
2021-05-31,13922.84,1215.72,1883.00,468.91
2021-05-28,13637.95,1209.41,1882.75,468.53
2021-05-27,13619.67,1197.91,1882.50,473.54
2021-05-26,13541.07,1194.27,1882.25,476.45
2021-05-25,13538.91,1184.62,1882.00,476.27
2021-05-24,13653.57,1194.68,1881.75,476.76
2021-05-21,13466.66,1180.82,1881.50,475.23
2021-05-20,13529.97,1181.86,1881.25,474.13
2021-05-19,13512.56,1181.24,1881.00,473.39
2021-05-18,13484.62,1184.55,1880.75,471.29
2021-05-17,13511.51,1184.14,1880.50,472.79
2021-05-14,13368.11,1173.96,1880.25,472.30
2021-05-13,13208.96,1162.65,1880.00,473.33
2021-05-12,13103.25,1153.05,1879.75,469.19
2021-05-11,13312.51,1184.40,1879.50,469.63
2021-05-10,13308.26,1174.23,1879.26,468.06
2021-05-07,13352.28,1175.48,1879.01,467.97
2021-05-06,13139.38,1155.08,1878.76,474.06
2021-05-05,13233.17,1151.65,1878.56,482.80
2021-05-04,13150.98,1133.81,1878.37,488.47
2021-05-03,13303.80,1148.23,1878.17,484.73
2021-04-30,13246.10,1145.19,1877.98,484.27
2021-04-29,13369.80,1156.48,1877.78,480.92
2021-04-28,13324.71,1165.98,1877.59,483.99
2021-04-27,13279.51,1149.96,1877.39,487.75
2021-04-26,13312.45,1161.57,1877.20,489.02
2021-04-23,13335.61,1160.95,1877.00,491.00
2021-04-22,13348.64,1149.79,1876.81,492.64
2021-04-20,13380.33,1156.44,1876.61,495.29
2021-04-19,13283.43,1164.84,1876.42,499.63
2021-04-16,13313.26,1166.58,1876.22,504.81
2021-04-15,13297.32,1162.60,1876.03,503.97
2021-04-14,13198.78,1158.69,1875.83,510.26
